headline,date,doc_type,material_type,section,keywords
Derrick Adams Can Make Art Out of Anything (Even Rubber Gloves),2019-11-05,article,News,,"['Art', 'Museums']"
8 Arrested in Vietnam in Inquiry Into Truck Deaths in Britain,2019-11-04,article,News,,"['Human Trafficking', 'Illegal Immigration', 'Murders, Attempted Murders and Homicides']"
"One-Ton Wizard Rock Vanished in Arizona. Just as Mysteriously, It Returned.",2019-11-04,article,News,,"['Rock and Stone', 'Forests and Forestry']"
‘Innocence Is Shattered:’ A Storied Mormon Family Reels After Mexico Murders,2019-11-05,article,News,,"['Mormon Family Massacre (Mexico, 2019)', 'Mormons (Church of Jesus Christ of Latter-Day Saints)', 'Murders, Attempted Murders and Homicides', 'Drug Cartels']"
‘The Witches Are Coming’ by Lindy West: An Excerpt,2019-11-05,article,Review,,[]
A Katy Perry Song Drops a Gift in Harley-Davidson’s Lap,2019-11-05,article,News,,"['Motorcycles, Motor Bikes and Motorscooters', 'Social Media', 'ADVERTISING AND MARKETING', 'Product Placement']"
"Iran Adds Advanced Centrifuges, Further Weakening Nuclear Deal",2019-11-04,article,News,,"['Nuclear Weapons', 'Uranium', 'Embargoes and Sanctions', 'United States International Relations']"
Letter of Recommendation: Radio Garden,2019-11-05,article,News,,"['Radio', 'Music']"
Carlos Beltran Says He Welcomes the Challenges of Managing the Mets,2019-11-05,article,News,,"['Baseball', 'Appointments and Executive Changes', 'Coaches and Managers']"
South American Literature’s Master of Malaise,2019-11-05,article,News,,['Books and Literature']
Hong Kong Protesters Call for U.S. Help. China Sees a Conspiracy.,2019-11-03,article,News,,"['United States International Relations', 'Hong Kong Protests (2019)', 'Demonstrations, Protests and Riots']"
Watch a Metal-Crushing Action Scene From ‘Terminator: Dark Fate’,2019-11-04,article,News,,['Movies']
"After Deadspin Chaos, an Executive Exits",2019-11-05,article,News,,"['News and News Media', 'Appointments and Executive Changes']"
A Farmed Striped Bass Worth Roasting,2019-11-04,article,News,,"['Bass (Fish)', 'Fish Farming']"
Role With Range,2019-11-05,article,News,,['Crossword Puzzles']
A Vending Machine With Healthy Options,2019-11-04,article,News,,"['Shopping and Retail', 'Vending Machines', 'Salads', 'Sandwiches']"
Hawks’ John Collins Is Suspended 25 Games for Violating Drug Policy,2019-11-05,article,News,,"['Basketball', 'Doping (Sports)']"
Final Exhibition by Okwui Enwezor Will Open in 2021 in Middle East,2019-11-03,article,News,,['Art']
Linda Hamilton on James Cameron and the First ‘Terminator’ Films,2019-11-04,article,News,,"['Movies', 'ACTORS AND ACTRESSES']"
"On a Remote Siberian Island Asking, Was It Just a Dream?",2019-11-05,article,News,,"['Travel and Vacations', 'Islands', 'Dogs']"
"Missed Burning Man? Burning Man, or at Least Its Art, Is Coming to You",2019-11-03,article,News,,"['Art', 'Burning Man Festival', 'Sculpture', 'Museums']"
"Walter Mercado, Celebrity Astrologer for Millions of Latinos, Dies",2019-11-03,article,Obituary (Obit),,"['Astrology', 'Deaths (Obituaries)']"
"Are the Phoenix Suns for Real? N.B.A. Takeaways, 2 Weeks In",2019-11-05,article,News,,['Basketball']
E.U. Defends Farm Subsidy Program Exploited by Autocrats,2019-11-04,article,News,,"['Agriculture and Farming', 'Politics and Government', 'Corruption (Institutional)', 'Frauds and Swindling']"
SoftBank May Tighten the Reins on Start-Up Founders,2019-11-05,article,News,,[]
Quotation of the Day: ‘Chile Woke Up’: A Legacy of Economic Inequality Incites Mass Protests,2019-11-04,article,Quote,,[]
Ocasio-Cortez Apologizes for Blocking Critic on Twitter,2019-11-04,article,News,,"['Freedom of Speech and Expression', 'Social Media', 'Decisions and Verdicts', 'Computers and the Internet', 'Apologies']"
"On Ukraine, Trump Is a Con Man, but He’s Also a Mark",2019-11-04,article,Op-Ed,,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Presidential Election of 2016', 'Cyberwarfare and Defense', 'United States International Relations', 'United States Politics and Government', 'Organized Crime', 'Campaign Finance', 'Suits and Litigation (Civil)', 'Corruption (Institutional)']"
Sleep Can Be Good for Your Salary,2019-11-04,article,News,,"['Daylight Saving Time', 'Sleep', 'Wages and Salaries', 'Productivity']"
Elizabeth Warren Is Asking the Most Important Question on Health Care,2019-11-05,article,Op-Ed,,"['Health Insurance and Managed Care', 'Medicare', 'Presidential Election of 2020']"
E.P.A. Weakens Rules Governing Toxic Water Pollution From Coal Plants,2019-11-04,article,News,,"['Global Warming', 'Environment', 'Greenhouse Gas Emissions', 'Carbon Dioxide', 'Water Pollution', 'Coal', 'United States Politics and Government', 'Regulation and Deregulation of Industry']"
Trump Taxes: Appeals Court Rules President Must Turn Over 8 Years of Tax Returns,2019-11-04,article,News,,"['Federal Taxes (US)', 'United States Politics and Government', 'Trump Tax Returns']"
Second Act for Shuttered Mills Revitalizes New England Towns,2019-11-05,article,News,,"['Real Estate (Commercial)', 'Area Planning and Renewal', 'Factories and Manufacturing', 'Small Business']"
What Work of Art or Culture Would You Recommend That Everyone Experience?,2019-11-04,article,News,,[]
"Life After Prison, on YouTube",2019-11-05,article,News,,"['Prisons and Prisoners', 'your-feed-selfcare']"
How to Explore One of Sweden’s Most Peaceful Nature Reserves,2019-11-05,article,News,,"['Travel and Vacations', 'Hotels and Travel Lodgings', 'Hikes and Hiking', 'Restaurants', 'Books and Literature', 'Wood and Wood Products', 'Wilderness Areas', 'Canoes and Canoeing']"
Martin Scorsese: I Said Marvel Movies Aren’t Cinema. Let Me Explain.,2019-11-05,article,Op-Ed,,['Movies']
Two Inmates Charged in Gang Killings Escape From a California Jail,2019-11-04,article,News,,"['Gangs', 'Murders, Attempted Murders and Homicides', 'Prison Escapes']"
"Al Burton, 91, Dies; Sitcom Producer With an Eye for Youth Culture",2019-11-04,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Television']"
A New Generation of Rulers in Women’s Tennis,2019-11-05,article,News,,['Tennis']
Iran Steps Further From Nuclear Deal With Move on Centrifuges,2019-11-05,article,News,,"['Nuclear Weapons', 'Uranium', 'Nuclear Energy', 'Embargoes and Sanctions', 'United States International Relations']"
"Corrections: November 5, 2019",2019-11-05,article,News,,[]
Pompeo Faces Political Peril and Diplomats’ Revolt in Impeachment Inquiry,2019-11-04,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Diplomatic Service, Embassies and Consulates', 'United States Politics and Government', 'Government Employees']"
Jean-Paul Dubois Wins Goncourt Prize With Melancholy Prison Novel,2019-11-04,article,News,,"['Books and Literature', 'Prix Goncourt']"
Living With the Kincade Fire,2019-11-04,article,Op-Ed,,"['Evacuations and Evacuees', 'Wildfires']"
The Week in Business: Twitter Cancels Political Ads,2019-11-03,article,News,,"['Political Advertising', 'Social Media', 'Computers and the Internet']"
How an Early 20th-Century English Guild Is Inspiring a New Generation,2019-11-04,article,News,,"['Art', 'Handicrafts', 'Textiles', 'Interior Design and Furnishings', 'Ceramics and Pottery']"
"For Third Time, Mayor Passes Over a Black Chief to Run the N.Y.P.D.",2019-11-05,article,News,,"['Blacks', 'Black People', 'Race and Ethnicity', 'Police', 'Appointments and Executive Changes']"
Statins Tied to Risk of Skin Infections,2019-11-04,article,News,,"['Cholesterol', 'Statins (Cholesterol-Lowering Drugs)', 'Diabetes', 'Drugs (Pharmaceuticals)', 'Zocor (Drug)', 'Skin', 'Infections', 'Staphylococcus Aureus']"
"What Should I Do About My Awful, Sexist Boss?",2019-11-05,article,News,,"['Workplace Environment', 'Workplace Hazards and Violations', 'Women and Girls', 'Discrimination', 'Cats', 'Labor and Jobs', 'Executives and Management (Theory)', '#MeToo Movement', 'Sexual Harassment', 'Ethics (Personal)']"
Is the ‘War on Drugs’ Over? Arrest Statistics Say No,2019-11-05,article,News,,"['Drug Abuse and Traffic', 'Criminal Justice', 'Race and Ethnicity', 'Research', 'Marijuana']"
Voyager 2’s Discoveries From Interstellar Space,2019-11-04,article,News,,"['Voyager Project', 'Solar System', 'Space and Astronomy', 'Sun', 'Milky Way Galaxy']"
"Teenage Rescuer, Now 92, Meets Family She Saved From Nazis",2019-11-05,article,News,,"['World War II (1939-45)', 'Jews and Judaism', 'Holocaust and the Nazi Era']"
Jimmy Fallon’s Producer Leaves NBC as ‘Tonight Show’ Ratings Slide,2019-11-04,article,News,,"['Television', 'Ratings (Audience Measurement)']"
‘Achieving the American Dream’ With a Loan and a Smuggler,2019-11-05,article,News,,"['Immigration and Emigration', 'Illegal Immigration', 'Credit and Debt']"
The Subway Is in Financial Crisis. Are 500 More Police Officers Needed?,2019-11-05,article,News,,"['Subways', 'Transit Systems', 'Police Brutality, Misconduct and Shootings', 'Police']"
House Investigators Summon Mick Mulvaney to Testify in Impeachment Inquiry,2019-11-05,article,News,,['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']
"Adam Schiff, a Trump Punching Bag, Takes His Case to a Bigger Ring",2019-11-03,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Impeachment']"
How to Build a Modern Barn,2019-11-05,article,News,,"['Real Estate and Housing (Residential)', 'Interior Design and Furnishings', 'Home Repairs and Improvements', 'Furniture']"
Covering the Marathon: A Race of Our Own,2019-11-04,article,News,,"['New York City Marathon', 'Running', 'Newspapers']"
‘Museum Diplomacy’ as New Pompidou Center Opens in Shanghai,2019-11-05,article,News,,"['Art', 'International Relations']"
Recent Commercial Real Estate Transactions,2019-11-05,article,News,,"['Real Estate and Housing (Residential)', 'Real Estate (Commercial)']"
"What’s Going On in This Picture? | Nov. 4, 2019",2019-11-03,article,News,,[]
Tight Kentucky and Mississippi Governors’ Races as Trump Takes Stage,2019-11-05,article,News,,"['Politics and Government', 'Elections, Governors']"
California Mayors Back Plan to Make PG&E a Cooperative,2019-11-05,article,News,,"['Bankruptcies', 'Local Government', 'Electric Light and Power', 'Power Failures and Blackouts', 'Wildfires', 'Mayors']"
His Face Is Unmistakable. It Is the Face of Protest.,2019-11-05,article,Op-Ed,,"['Photography', 'Demonstrations, Protests and Riots', 'Politics and Government', 'Masks', 'Holidays and Special Occasions']"
Lesson of the Day: ‘Do Works by Men Implicated by #MeToo Belong in the Classroom?’,2019-11-05,article,News,,[]
"One Year From Election, Trump Trails Biden but Leads Warren in Battlegrounds",2019-11-04,article,News,,"['Presidential Election of 2020', 'Polls and Public Opinion']"
Saudi Aramco Announces Plans to Go Public,2019-11-03,article,News,,"['Initial Public Offerings', 'Oil (Petroleum) and Gasoline', 'Sovereign Wealth Funds']"
Enter the Arena,2019-11-04,article,News,,['Presidential Election of 2020']
Secret From ‘Slave Play’ Creator: Surprise Show in Brooklyn,2019-11-04,article,News,,['Theater']
New Library Is a $41.5 Million Masterpiece. But About Those Stairs.,2019-11-05,article,News,,"['Libraries and Librarians', 'ARCHITECTURE', 'AMERICANS WITH DISABILITIES ACT', 'Disabilities']"
Under Armour’s Stock Tanks as Troubles Pile Up,2019-11-04,article,News,,"['Sporting Goods and Equipment', 'Fashion and Apparel', 'Appointments and Executive Changes', 'Company Reports']"
"Russian Snipers, Missiles and Warplanes Try to Tilt Libyan War",2019-11-05,article,News,,"['Defense and Military Forces', 'Politics and Government', 'Terrorism', 'Drones (Pilotless Planes)', 'Mercenaries and Private Military Contractors']"
‘Terminator: Dark Fate’ Breaks Down at the Box Office,2019-11-03,article,News,,['Movies']
Kanye West’s ‘Jesus Is King’ Is No. 1,2019-11-04,article,News,,"['Rap and Hip-Hop', 'Pop and Rock Music', 'Gospel Music']"
"Jennie Sears, Zachary Fried",2019-11-03,article,News,,['Weddings and Engagements']
Attack of the Wall Street Snowflakes,2019-11-04,article,Op-Ed,,"['Banking and Financial Institutions', 'United States Politics and Government', 'Presidential Election of 2020', 'Health Insurance and Managed Care']"
Trial of Roger Stone Will Revive Saga of Trump and Russian Interference,2019-11-05,article,News,,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Presidential Election of 2016', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States Politics and Government', 'Classified Information and State Secrets', 'Special Prosecutors (Independent Counsel)']"
Walmart’s Strategy When Wading Into Culture Wars: Offend Few,2019-11-04,article,News,,"['Shopping and Retail', 'Corporate Social Responsibility', 'Gun Control', 'E-Cigarettes', 'Wages and Salaries', 'Plastic Bags']"
"‘The Irishman’ on Broadway: Phone Booths, Broadsheets and Jimmy Hoffa Stickers",2019-11-04,article,News,,['Movies']
"A Choreographer Learns From the Club: ‘Live True, Dance Free’",2019-11-05,article,News,,['Dancing']
The Online Cacophony of Hate Against Ilhan Omar and Rashida Tlaib,2019-11-05,article,Op-Ed,,"['Discrimination', 'Muslim Americans']"
Tiny Brains Don’t Stop These Birds From Having a Complex Society,2019-11-04,article,News,,"['Birds', 'Animal Behavior', 'Research', 'Monkeys and Apes', 'Brain', 'your-feed-science']"
Dementia Can Make Patients Wander. What if They Cross the Border?,2019-11-03,article,News,,"[""ALZHEIMER'S DISEASE"", 'Dementia']"
A Book Full of Reasons to Love Paris,2019-11-05,article,Review,,['Books and Literature']
‘Saturday Night Live’ Welcomes Kristen Stewart and a Hero Dog,2019-11-03,article,News,,['Television']
"Turkey Sentences, Then Frees, 2 Journalists Jailed in Crackdown",2019-11-04,article,News,,"['Politics and Government', 'News and News Media', 'Political Prisoners', ""Coups D'Etat and Attempted Coups D'Etat"", 'Freedom of the Press']"
Louis C.K. Doubles Down on the Value of Saying the Wrong Thing,2019-11-04,article,News,,"['Comedy and Humor', '#MeToo Movement']"
How to Get the Most Out of National Novel Writing Month,2019-11-04,article,News,,"['Writing and Writers', 'Books and Literature']"
How to Say No During Wedding Season,2019-11-05,article,News,,"['Parties (Social)', 'Friendship', 'Dating and Relationships']"
A Japanese Sweet Tradition a Thousand Years in the Making,2019-11-04,article,News,,['Candy']
The Fight for a New Iraq,2019-11-05,article,Op-Ed,,"['Corruption (Institutional)', 'Demonstrations, Protests and Riots', 'Politics and Government']"
5 Lessons We Learned From the California Wildfires,2019-11-04,article,News,,"['Wildfires', 'Fires and Firefighters', 'Power Failures and Blackouts', 'Global Warming', 'Evacuations and Evacuees']"
An Invitation to Readers: Variations on a Letter,2019-11-05,article,Letter,,['Letters']
Jepkosgei’s N.Y.C. Marathon Upset Caps a Year of Leaps and Turmoil,2019-11-03,article,News,,"['New York City Marathon', 'Marathon Running']"
"ISIS Lost Mosul in 2017, but the Story Began Thousands of Years Ago",2019-11-05,article,Review,,['Books and Literature']
Who’s Actually Electable in 2020?,2019-11-05,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses', 'United States Politics and Government', 'Polls and Public Opinion']"
Fashion’s Newest Star Already Has Michelle Obama’s Approval,2019-11-05,article,News,,"['Fashion and Apparel', 'Awards, Decorations and Honors', 'your-feed-fashion']"
"White Supremacist Plotted to Bomb Colorado Synagogue, F.B.I. Says",2019-11-04,article,News,,"['ANTI-SEMITISM', 'Jews and Judaism', 'Synagogues', 'Fringe Groups and Movements', 'Whites']"
"A New Pierogi Shop for Greenpoint, Brooklyn",2019-11-04,article,News,,['Restaurants']
Trump Urges Kentucky Supporters to Defy ‘Crazy’ Democrats and Re-Elect Governor,2019-11-05,article,News,,"['Elections, Governors', 'United States Politics and Government', 'Polls and Public Opinion']"
Forger Claims Credit for Paintings in Prince Charles’s Charity Headquarters,2019-11-04,article,News,,"['Art', 'Forgery']"
"‘Watchmen’ Season 1, Episode 3 Recap: Good Guys for Breakfast",2019-11-04,article,Review,,['Television']
We Don’t Actually Want to Be Happy,2019-11-04,article,Op-Ed,,"['Chess', 'Happiness', 'Philosophy']"
"Galen McNeil, Connor Pierson",2019-11-03,article,News,,['Weddings and Engagements']
Trump Vowed to Shrink the Trade Gap. It Keeps Growing.,2019-11-05,article,News,,"['International Trade and World Market', 'United States Politics and Government', 'Customs (Tariff)']"
What’s on TV Tuesday: A Dark Coming of Age Comedy and ‘The Little Mermaid Live!’,2019-11-05,article,News,,"['Television', 'Movies']"
‘One Discordant Violin’ Review: In Search of Soul-Stirring Art,2019-11-03,article,Review,,['Theater']
"Ann Crumb, Who Starred in ‘Aspects of Love,’ Is Dead at 69",2019-11-04,article,Obituary (Obit),,"['Deaths (Obituaries)', 'Theater', 'ACTORS AND ACTRESSES']"
"Whistle-Blower Willing to Answer Republicans’ Questions, Lawyer Says",2019-11-03,article,News,,"['United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Ethics and Official Misconduct', 'Whistle-Blowers', 'Impeachment']"
"Jerome Wilson, Key in Revamping New York Divorce Law, Dies at 88",2019-11-05,article,Obituary (Obit),,"['Divorce, Separations and Annulments', 'Deaths (Obituaries)', 'State Legislatures']"
"With Israel in Limbo, Benny Gantz Vows to Seek a ‘Peace Within’",2019-11-04,article,Letter,,"['Palestinians', 'Politics and Government']"
Pete Buttigieg Is an Iowa Front-Runner. Will That Help Him Anywhere Else?,2019-11-04,article,News,,['Presidential Election of 2020']
"Donald Trump, George Soros and Your Local Elections",2019-11-04,article,briefing,,"['Elections, State Legislature', 'Elections, District Attorneys', 'Elections, House of Representatives', 'Politics and Government']"
New York’s 5 Ballot Questions: What You Need to Know,2019-11-04,article,News,,"['Referendums', 'Voting and Voters', 'Conflicts of Interest', 'Budgets and Budgeting', 'Elections, Public Advocate', 'Elections, District Attorneys', 'Land Use Policies', 'Lobbying and Lobbyists']"
Personalization Has Failed Us,2019-11-05,article,Op-Ed,,"['Privacy', 'Computers and the Internet', 'ADVERTISING AND MARKETING', 'Video Recordings, Downloads and Streaming']"
Vast Dragnet Targets Theft of Biomedical Secrets for China,2019-11-04,article,News,,"['Industrial Espionage', 'Politics and Government', 'Colleges and Universities', 'Chinese-Americans', 'Foreign Students (in US)', 'Research', 'Inventions and Patents', 'Intellectual Property', 'Robberies and Thefts', 'Discrimination', 'Espionage and Intelligence Services', 'Asian-Americans', 'Conflicts of Interest', 'Biotechnology and Bioengineering', 'Medical Schools']"
‘Chile Woke Up’: Dictatorship’s Legacy of Inequality Triggers Mass Protests,2019-11-04,article,News Analysis,,"['Demonstrations, Protests and Riots', 'Income Inequality', 'Politics and Government', 'Economic Conditions and Trends']"
These Machines Can Put You in Jail. Don’t Trust Them.,2019-11-03,article,News,,"['Tests (Sobriety)', 'Drunken and Reckless Driving', 'Police', 'Forensic Science', 'False Arrests, Convictions and Imprisonments', 'States (US)', 'Software']"
"Marya Columbia, Whose Music Soothed on 9/11, Dies at 63",2019-11-05,article,Obituary (Obit),,"['Deaths (Obituaries)', 'September 11 (2001)', 'Classical Music']"
"Jane Fonda at 81, Proudly Protesting and Going to Jail",2019-11-03,article,News,,"['Demonstrations, Protests and Riots', 'Television', 'Environment', 'ACTORS AND ACTRESSES', 'Celebrities']"
New Hampshire Couple’s Adventure Ends in Mysterious Death in Texas,2019-11-05,article,News,,"['Murders, Attempted Murders and Homicides', 'Travel and Vacations']"
What’s on TV Sunday: ‘Queer Eye’ and ‘The Affair’,2019-11-03,article,News,,"['Television', 'Movies']"
It’s Not Like Trump Should Have to ‘Watch Very Boring Sports’,2019-11-03,article,News Analysis,,"['Presidential Election of 2020', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Mixed Martial Arts', 'Impeachment']"
Trump Serves Notice to Quit Paris Climate Agreement,2019-11-04,article,News,,"['Global Warming', 'United Nations Framework Convention on Climate Change', 'Environment', 'Greenhouse Gas Emissions', 'Carbon Dioxide', 'Presidential Election of 2020', 'United States Politics and Government']"
Inside Ukraine’s Push to Cultivate Trump From the Start,2019-11-04,article,News,,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'United States International Relations', 'United States Politics and Government', 'Coal', 'Special Prosecutors (Independent Counsel)']"
Iraqis Rise Against a Reviled Occupier: Iran,2019-11-04,article,News,,"['Demonstrations, Protests and Riots', 'Politics and Government', 'Corruption (Institutional)', 'Muslims and Islam']"
Elizabeth Warren Throws Down the Gauntlet,2019-11-04,article,Op-Ed,,"['Health Insurance and Managed Care', 'Medicare', 'Patient Protection and Affordable Care Act (2010)']"
"Paris Accord, Iran, Parliament: Your Tuesday Briefing",2019-11-05,article,briefing,,[]
Uber Posts $1.2 Billion Loss as Growth Improves,2019-11-04,article,News,,"['Car Services and Livery Cabs', 'Company Reports', 'Computers and the Internet']"
What Happens When a President and Congress Go to War?,2019-11-05,article,News,,"['Presidents and Presidency (US)', 'Law and Legislation', 'Benghazi Attack (2012)', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Corruption (Institutional)', 'Constitution (US)']"
A Showcase Start to the College Basketball Season in N.Y.C.,2019-11-05,article,News,,"['Basketball (College)', 'Draft and Recruitment (Sports)']"
Nancy Pelosi Should Not Be President,2019-11-03,article,Op-Ed,,"['United States Politics and Government', 'Law and Legislation', 'Constitution (US)', 'Presidents and Presidency (US)', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']"
The Presidency Is Not Enough,2019-11-04,article,Op-Ed,,"['United States Politics and Government', 'Presidential Election of 2020', 'Elections, Senate', 'Organized Labor', ""New Deal (1930's)"", 'Liberalism (US Politics)', 'Presidents and Presidency (US)']"
Liberalism’s Latinx Problem,2019-11-05,article,Op-Ed,,"['Race and Ethnicity', 'Hispanic-Americans', 'Presidential Election of 2020', 'Polls and Public Opinion', 'Minorities']"
Judge Dismisses Health Care Challenge by Prisoner at Guantánamo Bay,2019-11-04,article,News,,"['Detainees', 'Military Tribunals', 'United States Defense and Military Forces']"
"Nigel Farage, Brexit Party Leader, Says He Won’t Run in Election",2019-11-03,article,News,,"['Elections', 'Politics and Government', 'Great Britain Withdrawal from EU (Brexit)']"
"Dipal Shah, Niraj Patel",2019-11-03,article,News,,['Weddings and Engagements']
What’s on TV Monday: ‘His Dark Materials’ and a Classic Courtroom Drama,2019-11-04,article,News,,"['Television', 'Movies']"
"Natalie Minev, John Atallah",2019-11-03,article,News,,['Weddings and Engagements']
"Rudy Boesch, SEAL and ‘Survivor’ Star, Is Dead at 91",2019-11-04,article,Obituary (Obit),,"['Television', 'Reality Television', 'Deaths (Obituaries)']"
New Pastries for a New Bien Cuit,2019-11-04,article,News,,['Bakeries and Baked Products']
We Shouldn’t Bother the Feral Scooters of Central Park,2019-11-04,article,Op-Ed,,"['Computers and the Internet', 'Parks and Other Recreation Areas', 'Evolution (Biology)', 'Artificial Intelligence', 'Science Fiction']"
"Antigone LoVoi, Deven Bowles",2019-11-03,article,News,,['Weddings and Engagements']
"After U.F.C. 244, Could a Non-Title Rematch Be Next?",2019-11-04,article,News,,['Mixed Martial Arts']
"New & Noteworthy, From Harold Bloom to the Women of Congress",2019-11-05,article,News,,['Books and Literature']
Sudan Archives Is Making R&B Deeper and Stranger,2019-11-04,article,News,,"['RHYTHM AND BLUES (MUSIC)', 'Violins and Violas']"
"No Corrections: November 4, 2019",2019-11-04,article,Correction,,[]
"After a Turbulent Adolescence, a Career Path Comes Into Focus",2019-11-05,article,News,,[]
"Microsoft Surface Pro X Review: Powerful Computer, but So-So Tablet",2019-11-05,article,Review,,"['Computers and the Internet', 'Tablet Computers', 'Mobile Applications', 'Software', 'Windows (Operating System)', 'Computer Keyboards', 'Laptop Computers', 'iPad']"
"Paris Accord, Joe Biden, Apple Housing: Your Monday Evening Briefing",2019-11-04,article,briefing,,[]
Key Excerpts From Sondland’s and Volker’s Testimonies in the Impeachment Inquiry,2019-11-05,article,News,,"['Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry', 'Impeachment']"
Farm Country Feeds America. But Just Try Buying Groceries There.,2019-11-05,article,News,,"['Rural Areas', 'Supermarkets and Grocery Stores', 'Agriculture and Farming', 'Cooperatives', 'Food']"
Daniel Romanchuk and Manuela Schar Win N.Y.C. Marathon Wheelchair Races,2019-11-03,article,News,,['New York City Marathon']
Writing a Novel,2019-11-05,article,News,,[]
"If You Want One of These Things, Wait Until Black Friday",2019-11-05,article,News,,"['Black Friday and Cyber Monday (Shopping)', 'Prices (Fares, Fees and Rates)', 'Computer and Video Games', 'Luxury Goods and Services', 'Television Sets and Media Devices', 'your-feed-wirecutter']"
"Facebook Isn’t Just Allowing Lies, It’s Prioritizing Them",2019-11-04,article,Op-Ed,,"['Social Media', 'Rumors and Misinformation', 'Online Advertising', 'Computers and the Internet', 'Political Advertising']"
Elizabeth Warren’s Plan to Pay for Medicare for All,2019-11-04,article,Letter,,"['Health Insurance and Managed Care', 'Medicare', 'United States Politics and Government', 'Presidential Election of 2020']"
Yankees Pass Up Chance to Give Didi Gregorius a Qualifying Offer,2019-11-05,article,News,,"['Baseball', 'Free Agents (Sports)']"
"India, China, Indonesia: Your Tuesday Briefing",2019-11-04,article,briefing,,[]
"Stephanie Mendez, Zachary Hamlin-Leopold",2019-11-03,article,News,,['Weddings and Engagements']
"Homes That Sold for Around $450,000",2019-11-03,article,News,,['Real Estate and Housing (Residential)']
‘The Affair’ Series Finale Recap: The End of the Affair,2019-11-04,article,Review,,['Television']
A Sliver of the Electorate Could Decide 2020. Here’s What These Voters Want.,2019-11-05,article,News,,"['Presidential Election of 2020', 'Voting and Voters', 'United States Politics and Government']"
"Armed With a New Laptop, He Is on a Path to a Degree",2019-11-03,article,News,,[]
What Work of Art or Culture Would You Warn Others to Avoid? Why?,2019-11-05,article,News,,[]
"Xi Jinping Endorses Carrie Lam, Embattled Hong Kong Leader",2019-11-05,article,News,,"['Politics and Government', 'Hong Kong Protests (2019)']"
"She Was on the Verge of Homelessness. With Help, She Found Her Way.",2019-11-04,article,News,,[]
Word + Quiz: gewgaw,2019-11-04,article,News,,[]
McDonald’s C.E.O. Fired Over a Relationship That’s Becoming Taboo,2019-11-05,article,News,,"['#MeToo Movement', 'Sexual Harassment', 'Appointments and Executive Changes', 'Workplace Hazards and Violations', 'Workplace Environment', 'Fast Food Industry']"
Turkey Captures Sister of Islamic State Chief Killed in Raid,2019-11-04,article,News,,[]
Dermot Shea Appointed New N.Y.P.D. Commissioner as O’Neill Resigns,2019-11-04,article,News,,"['Appointments and Executive Changes', 'Blacks', 'Black People', 'Crime and Criminals', 'Hispanic-Americans', 'Police']"
Why Affirmative Action Is on the Ballot in Washington State,2019-11-04,article,News,,"['Minorities', 'Discrimination', 'AFFIRMATIVE ACTION', 'Race and Ethnicity', 'Referendums']"
"‘Girl, Woman, Other,’ a Big, Busy Novel About New Ways of Living",2019-11-04,article,Review,,['Books and Literature']
"‘Mr. Robot’ Season 4, Episode 5 Recap: Quiet on the Set",2019-11-04,article,Review,,['Television']
Nearly 500 Prisoners Freed on a Single Day,2019-11-04,article,News,,"['Amnesties, Commutations and Pardons', 'Prisons and Prisoners', 'Sentences (Criminal)', 'Criminal Justice']"
Shopping for Storage Baskets,2019-11-04,article,News,,"['Real Estate and Housing (Residential)', 'Interior Design and Furnishings', 'Furniture', 'Design', 'Home Repairs and Improvements', 'Storage']"
Recklessly Quitting the Paris Climate Accord,2019-11-05,article,Letter,,"['Global Warming', 'United Nations Framework Convention on Climate Change', 'United States Politics and Government']"
Carmen Maria Machado Opens Up About Her Domestic Abuse,2019-11-05,article,Review,,"['Books and Literature', 'Dating and Relationships', 'Domestic Violence']"
Walter Mercado: There Was a Duality to Everything About Him,2019-11-04,article,News,,['Astrology']
It’s Back: 8chan Returns Online,2019-11-04,article,News,,"['Rumors and Misinformation', 'Computers and the Internet', 'Christchurch, New Zealand, Attack (March 2019)', 'El Paso, Tex, Shooting (2019)', 'Chabad of Poway Synagogue Shooting (2019)', 'Fringe Groups and Movements', 'Mass Shootings', 'Discrimination']"
‘In the Dream House’ by Carmen Maria Machado: An Excerpt,2019-11-05,article,Review,,[]
